Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
193,"Bilek, István",700525,11.08.1932,Budapest,20.03.2010,1962,Hungary,M,
935,"Kraidman, Yair",2800187,01.11.1932,Haifa,,1976,Israel,M,
1566,"Sanguineti, Raúl",100030,03.02.1933,"Paraná, Buenos Aires",06.08.2000,1982,Argentina,M,honorary
1066,"Lutikov, Anatoly",,05.02.1933,Leningrad,15.10.1989,1974,Soviet Union,M,
1866,"Vasiukov, Evgeni",4100522,05.03.1933,Moscow,10.05.2018,1961,Russia,M,[obit 46]
372,"Díez del Corral, Jesús",2200155,06.04.1933,Zaragoza,19.02.2010,1974,Spain,M,
1327,"Padevsky, Nikola",2900190,29.05.1933,Plovdiv,,1964,Bulgaria,M,Gaige
1010,"Lengyel, Levente",700541,13.06.1933,Debrecen,18.08.2014,1964,Hungary,M,
480,"Flesch, János",,30.09.1933,Budapest,09.12.1983,1980,Hungary,M,
1364,"Penrose, Jonathan",400360,07.10.1933,Colchester,30.11.2021,1993,England,M,honorary[obit 32]
764,"Ivkov, Borislav",900141,12.11.1933,Belgrade,14.02.2022,1955,Yugoslavia,M,Gaige; later Serbia[obit 15]
636,"Gurgenidze, Bukhuti",13600184,13.11.1933,Surami,24.05.2008,1970,Soviet Union,M,later Georgia
549,"Ghițescu, Theodor",1200119,24.01.1934,Bucharest,22.11.2008,1986,Romania,M,honorary
342,"Darga, Klaus",4600150,24.02.1934,Pankow,,1964,West Germany,M,Gaige; currently Germany
362,"Dely, Péter",700207,05.07.1934,Sárospatak,29.12.2012,1999,Hungary,M,honorary
1715,"Stein, Leonid",,12.11.1934,Kamenets-Podolskiy,04.07.1973,1962,Soviet Union,M,Gaige
1409,"Polugaevsky, Lev",,20.11.1934,Mogilev,30.08.1995,1962,Soviet Union,M,later Russia
1305,"Ólafsson, Friðrik",2300052,26.01.1935,Reykjavík,,1958,Iceland,M,Gaige
1283,"Nikolić, Stanimir",903191,26.01.1935,Donja Trepča,2021-05,1978,Yugoslavia,M,later Serbia[obit 30]
987,"Larsen, Bent",1400029,04.03.1935,"Tilsted, near Thisted",09.09.2010,1956,Denmark,M,
1338,"Panno, Óscar",100153,17.03.1935,Buenos Aires,,1955,Argentina,M,Gaige
1838,"Uhlmann, Wolfgang",4611284,29.03.1935,Dresden,24.08.2020,1959,East Germany,M,later Germany
882,"Klovāns, Jānis",11600128,09.04.1935,Ruba,05.10.2010,1997,Latvia,M,
1134,"Matulović, Milan",900362,10.06.1935,Belgrade,09.10.2013,1965,Yugoslavia,M,later Serbia
1983,"Zaitsev, Alexander",,15.06.1935,Vladivostok,31.10.1971,1967,Soviet Union,M,Gaige
491,"Forintos, Győző",700690,30.07.1935,Budapest,05.12.2018,1974,Hungary,M,[obit 12]
308,"Čirić, Dragoljub",901431,12.11.1935,Novi Sad,17.08.2014,1965,Yugoslavia,M,later Serbia
147,"Bárczay, László",700851,21.02.1936,Miskolc,07.04.2016,1967,Hungary,M,
